ID,Phase,Age,Gender,total_count
0,pre,NA,NA,3
1,euro,4,NA,0
100,euro,2,NA,3
101,pre,5,1,1
102,pre,4,3,9
103,pre,4,NA,1
104,pre,2,NA,2
105,NA,NA,2,0
106,NA,NA,NA,0
107,euro,7,4,19
108,euro,5,2,7
109,euro,5,1,4
11,euro,NA,4,28
110,euro,NA,NA,5
111,NA,5,NA,0
112,NA,NA,NA,0
113,NA,NA,NA,1
114,NA,2,NA,0
115,disturbed,NA,NA,1
116,NA,NA,NA,0
117,NA,NA,NA,0
118,NA,7,NA,0
119,NA,NA,NA,0
12,pre,NA,NA,3
120,NA,NA,NA,0
121,NA,NA,NA,0
122,NA,NA,NA,0
123,NA,NA,NA,0
124,NA,NA,NA,1
125,NA,NA,NA,0
126,disturbed,NA,NA,0
127,disturbed,NA,NA,1
128,NA,NA,NA,0
129,NA,NA,NA,0
130,NA,NA,NA,1
131,NA,NA,NA,0
132,disturbed,NA,NA,0
15,euro,NA,4,2
16,euro,1,NA,7
17,euro,6,NA,11
18,euro,4,NA,3
19,euro,NA,NA,0
2,post,2,NA,0
20,euro,7,NA,2963
21,pre,7,4,124
22,euro,NA,NA,2
23A,euro,NA,4,10
23B,euro,5,3,13
25,pre,5,3,9
26,euro,NA,NA,1
27,pre,8,3,32
28,pre,NA,4,10
29,euro,NA,NA,204
3,euro,NA,NA,10
30,euro,7,1,8
31,euro,NA,NA,6
32,pre,3,NA,11
33,euro,2,NA,12
34,pre,NA,1,5
35,euro,NA,NA,3
36,euro,7,NA,16
38,NA,7,NA,6
39,NA,NA,NA,0
4,euro,4,3,2
40,euro,NA,NA,64
42,euro,NA,NA,2
43,NA,NA,NA,31
44,euro,4,NA,11
45,euro,NA,NA,304
46,euro,8,1,0
47,euro,7,3,28
48,pre,3 or 4,3,13
49,NA,NA,NA,0
5,euro,2,NA,7
50,NA,NA,NA,0
51,pre,NA,NA,8
52,NA,NA,NA,0
53,euro,4,3,4
54,pre,7,1,0
55,pre,NA,2,7
56,NA,NA,NA,0
57,NA,NA,NA,0
58,euro,2,NA,13
59,euro,2,NA,1
6,pre,NA,NA,3
60,euro,2,NA,2
61,euro,5,1,11
62,NA,NA,NA,0
63,NA,NA,NA,0
64,NA,NA,NA,0
65,euro,NA,3,3
66,NA,2,NA,4
67,pre,7,NA,0
68,post,1,NA,2
69,euro,5,3,17
7,euro,7,1,3
70,pre,6,3,0
72,NA,NA,NA,0
73,pre,7,1,6
74,euro,7,1,19
75,pre,7,1,10
76,NA,NA,NA,2
77,chi,2,NA,0
78,chi,2,NA,1
79,chi,2,NA,0
8,pre,NA,NA,16
80,chi,2,NA,0
81,euro,NA,NA,10
83,pre,NA,NA,1
84,pre,4,NA,7
85,pre,4,3,27
86,pre,NA,NA,12
88,post,3,NA,12
89,post,7,1,4
9,post,7,NA,1532
90,pre,NA,NA,0
91,disturbed,7,NA,0
92,disturbed,7,NA,2
93,disturbed,7,2,2
94,disturbed,NA,NA,0
95,euro,NA,NA,21
96,pre,7,4,1059
97,pre,4,NA,6
98,NA,4,NA,0
99,euro,NA,NA,1
